Pes_atur,Nom_Barri,Codi_Barri,Poblacio_16_64_anys,Mes
10.1,la Verneda i la Pau,73,17577,4
8.9,el Camp de l'Arpa del Clot,64,25518,5
8.4,el Clot,65,18066,5
6.9,el Parc i la Llacuna del Poblenou,66,10558,5
7.8,la Vila Olímpica del Poblenou,67,6474,5
7.5,el Poblenou,68,22944,5
9,Diagonal Mar i el Front Marítim del Poblenou,69,8858,5
11,el Besòs i el Maresme,70,16577,5
8.3,Provençals del Poblenou,71,14217,5
10,Sant Martí de Provençals,72,16219,5
10.4,la Verneda i la Pau,73,17577,5
9,el Camp de l'Arpa del Clot,64,25518,6
8.6,el Clot,65,18066,6
7.2,el Parc i la Llacuna del Poblenou,66,10558,6
8.1,la Vila Olímpica del Poblenou,67,6474,6
7.8,el Poblenou,68,22944,6
9.1,Diagonal Mar i el Front Marítim del Poblenou,69,8858,6
11.1,el Besòs i el Maresme,70,16577,6
8.5,Provençals del Poblenou,71,14217,6
10.2,Sant Martí de Provençals,72,16219,6
10.6,la Verneda i la Pau,73,17577,6
8.9,el Camp de l'Arpa del Clot,64,25518,7
8.5,el Clot,65,18066,7
7.1,el Parc i la Llacuna del Poblenou,66,10558,7
8.1,la Vila Olímpica del Poblenou,67,6474,7
7.8,el Poblenou,68,22944,7
9,Diagonal Mar i el Front Marítim del Poblenou,69,8858,7
11,el Besòs i el Maresme,70,16577,7
8.4,Provençals del Poblenou,71,14217,7
10,Sant Martí de Provençals,72,16219,7
10.5,la Verneda i la Pau,73,17577,7
9.1,el Camp de l'Arpa del Clot,64,25518,8
8.7,el Clot,65,18066,8
7.3,el Parc i la Llacuna del Poblenou,66,10558,8
8.2,la Vila Olímpica del Poblenou,67,6474,8
7.9,el Poblenou,68,22944,8
9.1,Diagonal Mar i el Front Marítim del Poblenou,69,8858,8
11.1,el Besòs i el Maresme,70,16577,8
8.5,Provençals del Poblenou,71,14217,8
10.3,Sant Martí de Provençals,72,16219,8
10.7,la Verneda i la Pau,73,17577,8
8.8,el Camp de l'Arpa del Clot,64,25518,9
8.6,el Clot,65,18066,9
7.2,el Parc i la Llacuna del Poblenou,66,10558,9
8,la Vila Olímpica del Poblenou,67,6474,9
7.8,el Poblenou,68,22944,9
9,Diagonal Mar i el Front Marítim del Poblenou,69,8858,9
10.9,el Besòs i el Maresme,70,16577,9
8.4,Provençals del Poblenou,71,14217,9
10,Sant Martí de Provençals,72,16219,9
10.5,la Verneda i la Pau,73,17577,9
8.8,el Camp de l'Arpa del Clot,64,25518,10
8.5,el Clot,65,18066,10
7.2,el Parc i la Llacuna del Poblenou,66,10558,10
8,la Vila Olímpica del Poblenou,67,6474,10
7.7,el Poblenou,68,22944,10
9.1,Diagonal Mar i el Front Marítim del Poblenou,69,8858,10
11.1,el Besòs i el Maresme,70,16577,10
8.4,Provençals del Poblenou,71,14217,10
10.1,Sant Martí de Provençals,72,16219,10
10.5,la Verneda i la Pau,73,17577,10
8.8,el Camp de l'Arpa del Clot,64,25518,11
8.6,el Clot,65,18066,11
7.2,el Parc i la Llacuna del Poblenou,66,10558,11
8,la Vila Olímpica del Poblenou,67,6474,11
7.7,el Poblenou,68,22944,11
9.3,Diagonal Mar i el Front Marítim del Poblenou,69,8858,11
11.3,el Besòs i el Maresme,70,16577,11
8.5,Provençals del Poblenou,71,14217,11
10,Sant Martí de Provençals,72,16219,11
10.4,la Verneda i la Pau,73,17577,11
7.2,el Poble Sec,11,28836,1
11.7,la Marina del Prat Vermell,12,816,1
7.7,la Marina de Port,13,20506,1
7.6,la Font de la Guatlla,14,6897,1
6.3,Hostafrancs,15,11132,1
6.5,la Bordeta,16,12688,1
5.3,Sants - Badal,17,16163,1
5.9,Sants,18,28367,1
7.4,el Poble Sec,11,28836,2
12,la Marina del Prat Vermell,12,816,2
7.9,la Marina de Port,13,20506,2
7.8,la Font de la Guatlla,14,6897,2
6.4,Hostafrancs,15,11132,2
6.6,la Bordeta,16,12688,2
5.4,Sants - Badal,17,16163,2
6,Sants,18,28367,2
8,el Poble Sec,11,28836,3
12.4,la Marina del Prat Vermell,12,816,3
8.3,la Marina de Port,13,20506,3
8.4,la Font de la Guatlla,14,6897,3
6.6,Hostafrancs,15,11132,3
6.8,la Bordeta,16,12688,3
5.6,Sants - Badal,17,16163,3
