,Numero_expedient,Dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet
195,2019S003076    ,Dm,2019,4,Abril,23,7,Matí,Taxi,CADDY,VOLKSWAGEN,Negre/Groc,B,8
196,2019S000692    ,Dv,2019,1,Gener,25,20,Tarda,Furgoneta,DUCATO,FIAT,Negre,B,15
197,2019S003776    ,Dj,2019,5,Maig,16,12,Matí,Turisme,XSARA,CITROEN,Gris,B,11
198,2019S009838    ,Dv,2019,12,Desembre,20,14,Tarda,Motocicleta,SH 100,HONDA,Desconegut,A,58
199,2019S009838    ,Dv,2019,12,Desembre,20,14,Tarda,Turisme,TOYOTA PRIUS PLUS,TOYOTA,Negre/Groc,B,2
200,2019S007374    ,Dc,2019,9,Setembre,25,13,Matí,Motocicleta,CBF 500,HONDA,Gris,A,11
201,2019S007374    ,Dc,2019,9,Setembre,25,13,Matí,Turisme,C4,CITROEN,Gris,B,18
202,2019S008971    ,Dm,2019,3,Març,19,15,Tarda,Turisme,PRIUS ECO,TOYOTA,Negre/Groc,B,6
203,2019S004344    ,Dl,2019,6,Juny,3,21,Tarda,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut
204,2019S002134    ,Dm,2019,3,Març,19,9,Matí,Furgoneta,COMBO C VA,OPEL,Blanc,B,13
205,2019S003586    ,Dj,2019,5,Maig,9,23,Nit,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut
206,2019S005632    ,Dm,2019,7,Juliol,16,12,Matí,Ciclomotor,ES2,ASKOLL,Blanc,B,10
207,2019S005632    ,Dm,2019,7,Juliol,16,12,Matí,Furgoneta,115CDI,MERCEDES-BENZ,Negre,B,22
208,2019S009257    ,Dv,2019,11,Novembre,29,21,Tarda,Motocicleta,MAJESTY,YAMAHA,Blau,B,16
209,2019S009257    ,Dv,2019,11,Novembre,29,21,Tarda,Turisme,308 5PALLURE BHDI120,PEUGEOT,Blanc,B,14
210,2019S002778    ,Dl,2019,4,Abril,8,18,Tarda,Motocicleta,SH 125,HONDA,Blanc,B,14
