,accident_id,type_vehicle,model,brand,color,type_license,license_antiguity
11999,2018S007491    ,Taxi,LODGY,DACIA,Negre/Groc,B,41
12000,2018S000497    ,Ciclomotor,ZIP 50,PIAGGIO,Blanc,B,2
12001,2018S000497    ,Furgoneta,TRANSIT,FORD,Blanc,B,1
12002,2018S006079    ,Motocicleta,YBR 125,YAMAHA,Negre,B,33
12003,2018S006079    ,Turisme,QASHQAI,NISSAN,Blanc,B,2
12004,2018S007079    ,Motocicleta,LOGIK,KEEWAY,Negre,B,11
12005,2018S007079    ,Turisme,CIVIC,HONDA,Gris,B,44
12006,2018S009641    ,Motocicleta,GPD125-A,YAMAHA,Negre,B,15
12007,2018S009641    ,Turisme,XSARA PICASSO,CITROEN,Desconegut,B,15
12008,2018S000530    ,Motocicleta, ,K.T.M.,Blanc,A,2
12009,2018S004314    ,Ciclomotor,LIBERTY,PIAGGIO,Desconegut,LlicÃ¨ncia,13
12010,2018S004314    ,Turisme,IGNIS,SUZUKI,Desconegut,B,5
12011,2018S008672    ,Motocicleta,SCV100,HONDA,Gris,A,28
12012,2018S008257    ,Motocicleta,SH 125,HONDA,Negre,B,31
12013,2018S008257    ,Turisme,TIGUAN,VOLKSWAGEN,Blanc,B,37
12014,2018S006455    ,Ciclomotor,SH 50,HONDA,Negre,AM,2
12015,2018S006455    ,Turisme,A3,AUDI,Gris,B,31
12016,2018S003919    ,Motocicleta,GSX 1000,SUZUKI,Blau,A,8
12017,2018S003919    ,Turisme,306 5P,PEUGEOT,Blau,B,25
12018,2018S000232    ,AutobÃºs,CITYCLASS,IRISBUS,Desconegut,Desconegut,Desconegut
12019,2018S000232    ,Motocicleta,SCOOPY 125,HONDA,Gris,B,4
12020,2018S006281    ,Taxi,OPTIMA,KIA,Blau,B,24
12021,2018S006281    ,Taxi,TOURNEO,FORD,Negre,B,14
12022,2018S005361    ,Motocicleta,SH 125,HONDA,granate,A,25
12023,2018S005361    ,Veh. mobilitat personal amb motor,"V.M.P. ELECTRIC ""A""",GINYS AMB MOTOR,Desconegut,Sense permÃ­s,Desconegut
12024,2018S005161    ,Bicicleta,Desconegut,Desconegut,Desconegut,Sense permÃ­s,Desconegut
12025,2018S005161    ,Taxi,OCTAVIA,SKODA,Negre/Groc,B,15
12026,2018S006980    ,Ciclomotor,PEOPLE 50,KYMCO,Negre,AM,11
12027,2018S006980    ,Motocicleta,SYMPHONY 1,SYM,Gris,B,16
12028,2018S004257    ,Turisme,420I,BMW,Negre,B,32
12029,2018S006432    ,Motocicleta,MONSTER 82,DUCATI,Desconegut,A,7
12030,2018S006432    ,Turisme,Cayanne,PORSCHE,Negre,B,7
12031,2018S008355    ,Motocicleta,SH 125,HONDA,Negre,B,22
12032,2018S008355    ,Turisme,A 200,MERCEDES,Negre,B,45
12033,2018S005192    ,Motocicleta,ACTIV 125,KYMCO,Blanc,B,8
12034,2018S005192    ,Turisme,DOKKER,DACIA,Blanc,B,20
12035,2018S000090    ,AutobÃºs,CITARO,MERCEDES,Vermell,D,23
12036,2018S005434    ,AutobÃºs,CITARO,MERCEDES,Vermell,D,12
12037,2018S007857    ,Motocicleta,SH 125,HONDA,Negre,B,16
12038,2018S007857    ,Turisme,Panamera,PORSCHE,Negre,B,15
12039,2018S005472    ,Motocicleta,AGILITY 125,KYMCO,Negre,B,8
12040,2018S005472    ,Turisme,116I,BMW,Vermell,B,12
12041,2018S003677    ,Motocicleta,FAZER,YAMAHA,Negre,A,9
12042,2018S003677    ,Motocicleta,MT 07,YAMAHA,Negre,A2,9
12043,2018S003677    ,Turisme,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
12044,2018S000104    ,Bicicleta,Desconegut,Desconegut,Platejat,Desconegut,Desconegut
12045,2018S005231    ,Motocicleta,SH 125,HONDA,Negre,B,17
12046,2018S005231    ,Turisme,116,BMW,Blau,B,1
12047,2018S003935    ,Motocicleta,AGILITY CI,KYMCO,Negre,A,32
12048,2018S003935    ,Turisme,B 200,MERCEDES-BENZ,MarrÃ³,B,22
12049,2018S004393    ,Ciclomotor, ,GOVECS,Desconegut,B,2
12050,2018S004393    ,Motocicleta,Beverly,PIAGGIO,Gris,B,5
12051,2018S007546    ,Motocicleta,SH 125,HONDA,Gris,B,17
12052,2018S007546    ,Turisme,GOLF,VOLKSWAGEN,Negre,B,23
12053,2018S007892    ,Furgoneta,CRAFTER,VOLKSWAGEN,Blanc,B,29
12054,2018S007892    ,Motocicleta,PCX,HONDA,Negre,B,20
12055,2018S005576    ,Motocicleta,YP 400,YAMAHA,Desconegut,Desconegut,Desconegut
12056,2018S005576    ,Turisme,SX 4,SUZUKI,Blanc,B,44
12057,2018S005228    ,Turisme,IBIZA,SEAT,Vermell,Desconegut,Desconegut
12058,2018S004911    ,Motocicleta,SH 125,HONDA,Blanc,B,15
12059,2018S004911    ,Turisme,C3,CITROEN,Gris,B,51
12060,2018S005092    ,Furgoneta,BERLINGO,CITROEN,Blau,B,19
12061,2018S005092    ,Motocicleta,Varadero,HONDA,Negre,A,23
12062,2018S009275    ,Furgoneta,TRANSIT,FORD,Blanc,B,15
12063,2018S009275    ,Motocicleta,LIBERTY 12,PIAGGIO,Negre,B,15
12064,2018S009275    ,Turisme,DISCOVERY,JAGUAR LAND ROV,Negre,B,30
12065,2018S000524    ,Motocicleta,PES,HONDA,Negre,A,6
12066,2018S000524    ,Turisme,147,ALFA ROMEO,Negre,B,14
12067,2018S003270    ,Furgoneta,KANGOO,RENAULT,Desconegut,B,9
12068,2018S003270    ,Motocicleta,HD 125 EVO,SYM,Blanc,B,33
12069,2018S000290    ,Motocicleta,INTRUDER,SUZUKI,Blau,A,35
12070,2018S008183    ,Motocicleta,NSS300A,HONDA,Blanc,A,29
12071,2018S008183    ,Turisme,118D,B.M.W.,Gris,B,17
12072,2018S006301    ,Altres vehicles amb motor,65C15,FOIMA,Blanc,E B,22
12073,2018S006301    ,Turisme,MAZDA CX-5,MAZDA,Blau,Desconegut,Desconegut
12074,2018S006301    ,Turisme,OPTIMA,KIA,Negre,B,15
12075,2018S004214    ,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
12076,2018S004214    ,Furgoneta,KANGOO,RENAULT,Blanc,B,2
12077,2018S001981    ,Motocicleta,Beverly,PIAGGIO,Negre,A,28
12078,2018S001981    ,Turisme,CLIO,RENAULT,granate,B,29
12079,2018S008337    ,Furgoneta,35 S15,IVECO FIAT,Desconegut,B,19
12080,2018S008337    ,Furgoneta,MASCOTT 15,RENAULT,Desconegut,B,31
12081,2018S008337    ,Furgoneta,MASTER,RENAULT,Desconegut,B,32
12082,2018S009250    ,Turisme,COMBO,OPEL,Blanc,B,14
12083,2018S003637    ,Furgoneta,V 230,MERCEDES,Negre,B,5
12084,2018S001196    ,Ciclomotor,CS 50 Z,YAMAHA,Blanc,B,2
12085,2018S001196    ,Turisme,IBIZA II 1,SEAT,Blanc,B,9
12086,2018S005048    ,Motocicleta,CBF 125,HONDA,Negre,A1,5
12087,2018S005048    ,Turisme,IBIZA,SEAT,Vermell,B,9
12088,2018S001285    ,Ciclomotor,ZAHARA,KEEWAY,Vermell,B,1
12089,2018S001285    ,Taxi,E 220 CDI,MERCEDES,Negre/Groc,B,24
12090,2018S001487    ,Motocicleta,D'ELIGHT,YAMAHA,Blanc,B,5
12091,2018S001487    ,Turisme,IBIZA,SEAT,Blanc,A,42
12092,2018S006244    ,Motocicleta,SH125AD,HONDA,Negre,B,16
12093,2018S006244    ,Taxi,ELYSEE,CITROEN,Negre/Groc,B,30
12094,2018S008296    ,Furgoneta,FIORINO,FIAT,Blanc,B,35
12095,2018S008296    ,Motocicleta,BEVERLY 35,PIAGGIO,Desconegut,B,4
12096,2018S008296    ,Turisme,316,BMW,Negre,Desconegut,Desconegut
12097,2018S000406    ,Motocicleta,NINJA 250R,KAWASAKI,Blanc,A,2
12098,2018S000406    ,Turisme,ALTEA XL,SEAT,Gris,B,19
12099,2018S002068    ,Furgoneta,TOURNEO,FORD,Gris,B,42
12100,2018S009239    ,Turisme,CORDOBA,SEAT,Gris,B,20
12101,2018S002271    ,Furgoneta, ,RENAULT,Desconegut,B,11
12102,2018S002271    ,Turisme,Transalp,HONDA,Blanc,B,24
12103,2018S007174    ,Motocicleta,PES125,HONDA,granate,B,11
12104,2018S007174    ,Turisme,ARONA,SEAT,Blanc,B,8
12105,2018S004913    ,"CamiÃ³ rÃ­gid <= 3,5 tones", ,IVECO FIAT,Desconegut,C,37
12106,2018S004913    ,"CamiÃ³ rÃ­gid > 3,5 tones",Daily,IVECO FIAT,Desconegut,Desconegut,Desconegut
12107,2018S005950    ,Turisme,3008,PEUGEOT,Blanc,B,24
12108,2018S005950    ,Turisme,"TUCSON,IX3",HYUNDAI,Vermell,B,49
12109,2018S007711    ,Furgoneta,COMBO,OPEL,Blanc,B,25
12110,2018S007711    ,Motocicleta,NSC110MPD,HONDA,Gris,B,23
12111,2018S007490    ,Motocicleta,NSC110MPD,HONDA,Blanc,B,35
12112,2018S007490    ,Turisme,MAZDA 3,MAZDA,Blanc,B,20
12113,2018S002034    ,Turisme,FOCUS,FORD,Verd,B,52
12114,2018S007075    ,AutobÃºs,LION S CIT,MAN,Vermell,D,24
12115,2018S005641    ,Motocicleta,MEDLEY,PIAGGIO,Blanc,B,8
12116,2018S005641    ,Turisme,KUGA,FORD,Blanc,B,38
12117,2018S008258    ,Motocicleta,SES 125,HONDA,Blau,B,15
12118,2018S008258    ,Turisme,Altea,SEAT,Altres,B,14
12119,2018S002907    ,Motocicleta,SH125D,HONDA,Desconegut,B,36
12120,2018S002907    ,Turisme,C-ELYS E B,CITROEN,Desconegut,B,30
12121,2018S004940    ,Motocicleta,Vision,HONDA,Negre,A,8
12122,2018S004940    ,Turisme,MICRA,NISSAN,Gris,B,10
12123,2018S002810    ,Motocicleta,Sport City,APRILIA,Desconegut,B,7
12124,2018S002810    ,Turisme,XSARA,CITROEN,Desconegut,B,10
12125,2018S007629    ,Turisme,MEGANE,RENAULT,Altres,B,53
12126,2018S001032    ,Turisme,ALMERA,NISSAN,Blanc,B,63
12127,2018S007543    ,Ciclomotor,LIBERTY,PIAGGIO,Negre,B,25
12128,2018S007543    ,Turisme,C3,CITROEN,Gris,B,4
12129,2018S009050    ,Furgoneta,DOKKER,DACIA,Blanc,B,22
12130,2018S009050    ,Motocicleta,YP 400,YAMAHA,Gris,A,12
12131,2018S005499    ,Motocicleta,JOYRIDE 12,SYM,Blanc,B,30
12132,2018S002901    ,Motocicleta,SH 125,HONDA,Blanc,B,10
12133,2018S002901    ,Taxi,RAPID,SKODA,Negre/Groc,B,35
