"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","56 anys",68
2015,9,"Sant Andreu",60,"Sant Andreu","Home","56 anys",402
2015,9,"Sant Andreu",61,"la Sagrera","Home","56 anys",188
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Home","56 anys",100
2015,9,"Sant Andreu",63,"Navas","Home","56 anys",118
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","56 anys",240
2015,10,"Sant Martí",65,"el Clot","Home","56 anys",197
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","56 anys",97
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","56 anys",85
2015,10,"Sant Martí",68,"el Poblenou","Home","56 anys",198
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","56 anys",70
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Home","56 anys",134
2015,10,"Sant Martí",71,"Provençals del Poblenou","Home","56 anys",149
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Home","56 anys",172
2015,10,"Sant Martí",73,"la Verneda i la Pau","Home","56 anys",163
2015,1,"Ciutat Vella",1,"el Raval","Home","57 anys",262
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","57 anys",83
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","57 anys",68
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","57 anys",95
2015,2,"Eixample",5,"el Fort Pienc","Home","57 anys",181
2015,2,"Eixample",6,"la Sagrada Família","Home","57 anys",298
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","57 anys",237
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","57 anys",236
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","57 anys",326
2015,2,"Eixample",10,"Sant Antoni","Home","57 anys",214
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","57 anys",253
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","57 anys",4
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","57 anys",238
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","57 anys",61
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","57 anys",94
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","57 anys",138
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","57 anys",173
2015,3,"Sants-Montjuïc",18,"Sants","Home","57 anys",241
2015,4,"Les Corts",19,"les Corts","Home","57 anys",283
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","57 anys",146
2015,4,"Les Corts",21,"Pedralbes","Home","57 anys",67
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","57 anys",35
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","57 anys",143
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","57 anys",87
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","57 anys",168
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","57 anys",271
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","57 anys",164
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","57 anys",87
2015,6,"Gràcia",29,"el Coll","Home","57 anys",40
2015,6,"Gràcia",30,"la Salut","Home","57 anys",74
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","57 anys",258
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","57 anys",204
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","57 anys",146
2015,7,"Horta-Guinardó",34,"Can Baró","Home","57 anys",64
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","57 anys",203
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","57 anys",65
2015,7,"Horta-Guinardó",37,"el Carmel","Home","57 anys",141
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","57 anys",69
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","57 anys",41
2015,7,"Horta-Guinardó",40,"Montbau","Home","57 anys",23
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","57 anys",45
2015,7,"Horta-Guinardó",42,"la Clota","Home","57 anys",2
