,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
1399,2017S003396    ,Ciutat Vella,el Raval,Pere Coromines / Sant Oleguer                     ,Friday,April,14,15,Afternoon,2,0,2,1,2.171605,41.377202000000004
1539,2017S003395    ,Eixample,Sant Antoni,Calàbria / Mistral                                ,Friday,April,14,13,Morning,1,0,1,2,2.158329,41.377186
1686,2017S003473    ,Eixample,l'Antiga Esquerra de l'Eixample,Villarroel                                        ,Monday,April,17,20,Afternoon,1,0,1,1,2.151144,41.389309999999995
1774,2017S003405    ,Sants-Montjuïc,el Poble-sec,Lleida / Rius i Taulet                            ,Friday,April,14,21,Afternoon,0,0,0,2,2.1551810000000002,41.372876
1917,2017S003445    ,Sants-Montjuïc,Hostafrancs,Creu Coberta                                      ,Monday,April,17,19,Afternoon,1,0,1,1,2.142448,41.375158
1963,2017S003437    ,Sants-Montjuïc,Sants,Centre / Comtes de Bell-lloc                      ,Monday,April,17,13,Morning,1,0,1,2,2.136263,41.382059000000005
2124,2017S003433    ,Sarrià-Sant Gervasi,les Tres Torres,Augusta / Pau Alcover                             ,Sunday,April,16,13,Morning,4,0,4,3,2.125433,41.398668
2149,2017S003400    ,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dalt (Llobregat)                                  ,Friday,April,14,16,Afternoon,1,0,1,2,2.1442900000000003,41.428936
2458,2017S003408    ,Sant Andreu,Sant Andreu,Onze de Setembre                                  ,Friday,April,14,20,Afternoon,1,0,1,1,2.19024,41.429974
2566,2017S003430    ,Sant Martí,el Camp de l'Arpa del Clot,València                                          ,Sunday,April,16,11,Morning,0,0,0,2,2.186129,41.409686
2577,2017S003436    ,Sant Martí,la Verneda i la Pau,Ca n'Oliva / Corts Catalanes                      ,Monday,April,17,12,Morning,1,0,1,1,2.2096,41.420517
2665,2017S003444    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral                                           ,Monday,April,17,18,Afternoon,2,0,2,2,2.2087060000000003,41.397420000000004
2995,2017S003402    ,Eixample,la Dreta de l'Eixample,Aragó / Girona                                    ,Friday,April,14,19,Afternoon,1,0,1,2,2.1697740000000003,41.395845
3116,2017S003394    ,Eixample,la Sagrada Família,Mallorca / Nàpols                                 ,Friday,April,14,12,Morning,1,0,1,2,2.172039,41.400953
3448,2017S003398    ,Sarrià-Sant Gervasi,les Tres Torres,Prat de la Riba /                                 ,Friday,April,14,14,Afternoon,1,0,1,2,2.130719,41.392664
3494,2017S003416    ,Sarrià-Sant Gervasi,el Putxet i el Farró,Sant Eusebi / Saragossa                           ,Saturday,April,15,11,Morning,2,0,2,2,2.149682,41.401708
3795,2017S003426    ,Sant Andreu,el Bon Pastor,Guayaquil                                         ,Saturday,April,15,19,Afternoon,1,0,1,2,2.206892,41.441853
4036,2017S003399    ,Ciutat Vella,la Barceloneta,Marítim de la Barceloneta                         ,Friday,April,14,15,Afternoon,1,0,1,1,2.194666,41.383404999999996
4114,2017S003389    ,Eixample,Sant Antoni,Corts Catalanes / Casanova                        ,Friday,April,14,6,Morning,0,1,1,1,2.160816,41.383834
4736,2017S003409    ,Sarrià-Sant Gervasi,Sarrià,Sant Joan Bosco                                   ,Friday,April,14,23,Night,1,0,1,1,2.129023,41.393405
