,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
9206,Sant Martí,Tuesday,June,20,Morning,1,0,1,2
9208,Sant Martí,Monday,November,6,Morning,0,1,1,2
9209,Sant Martí,Sunday,October,22,Afternoon,4,0,4,3
9211,Sant Martí,Friday,May,19,Afternoon,1,0,1,1
9212,Sant Martí,Friday,March,10,Morning,2,0,2,2
9213,Sant Martí,Friday,September,29,Morning,1,0,1,2
9215,Sant Martí,Thursday,May,18,Morning,1,0,1,2
9216,Sant Martí,Friday,November,3,Morning,1,0,1,2
9217,Ciutat Vella,Tuesday,July,4,Morning,1,0,1,1
9218,Ciutat Vella,Wednesday,January,4,Morning,0,0,0,1
9219,Ciutat Vella,Monday,October,16,Afternoon,2,0,2,1
9220,Ciutat Vella,Tuesday,July,4,Afternoon,2,0,2,2
9221,Ciutat Vella,Thursday,February,2,Afternoon,1,0,1,2
9222,Ciutat Vella,Wednesday,June,7,Night,2,0,2,1
9223,Ciutat Vella,Tuesday,February,28,Night,1,0,1,2
9224,Ciutat Vella,Wednesday,February,1,Morning,1,0,1,2
9225,Ciutat Vella,Sunday,July,16,Night,0,1,1,1
