,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
6752,2017S010774    ,Eixample,la Sagrada Família,Aragó / Lepant                                    ,Saturday,December,30,20,Afternoon,0,0,0,2,2.178945,41.402738
6753,2017S006184    ,Eixample,la Sagrada Família,Aragó / Padilla                                   ,Saturday,July,15,21,Afternoon,1,0,1,2,2.180009,41.403541
6754,2017S009033    ,Eixample,la Sagrada Família,Aragó / Padilla                                   ,Wednesday,November,1,20,Afternoon,1,0,1,3,2.180009,41.403541
6755,2017S007980    ,Eixample,la Dreta de l'Eixample,Catalunya / Aragó                                 ,Wednesday,September,27,12,Morning,1,0,1,2,2.163448,41.391077
6756,2017S001733    ,Eixample,la Dreta de l'Eixample,VALÈNCIA                                          ,Thursday,March,2,18,Afternoon,2,0,2,3,2.165038,41.393855
6757,2017S008514    ,Eixample,la Dreta de l'Eixample,Aragó / Catalunya                                 ,Monday,October,16,19,Afternoon,1,0,1,2,2.163448,41.391077
6758,2017S002302    ,Eixample,la Dreta de l'Eixample,BALMES                                            ,Wednesday,March,22,14,Afternoon,1,0,1,2,2.1566080000000003,41.394011
6759,2017S003890    ,Eixample,la Sagrada Família,València / Castillejos                            ,Tuesday,May,2,18,Afternoon,1,0,1,2,2.180011,41.405225
6760,2017S004553    ,Eixample,la Dreta de l'Eixample,Catalunya / València                              ,Tuesday,May,23,11,Morning,1,0,1,2,2.1623040000000002,41.391909000000005
6761,2017S009178    ,Eixample,la Dreta de l'Eixample,Diagonal / Catalunya                              ,Tuesday,November,7,8,Morning,2,0,2,2,2.1568709999999998,41.395863
