,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
104,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2
105,Horta-Guinardó,Saturday,September,23,Afternoon,1,0,1,2
106,Nou Barris,Friday,September,22,Morning,2,0,2,5
107,Sant Martí,Friday,September,22,Afternoon,1,0,1,3
108,Sant Martí,Monday,September,25,Afternoon,1,0,1,3
109,Eixample,Monday,September,25,Morning,1,0,1,2
110,Eixample,Friday,September,22,Morning,0,1,1,1
111,Eixample,Sunday,September,24,Afternoon,1,0,1,2
112,Sarrià-Sant Gervasi,Sunday,September,24,Night,1,0,1,2
113,Sarrià-Sant Gervasi,Sunday,September,24,Night,1,0,1,1
114,Sarrià-Sant Gervasi,Saturday,September,23,Afternoon,1,0,1,2
115,Sarrià-Sant Gervasi,Saturday,September,23,Afternoon,2,0,2,1
116,Nou Barris,Friday,September,22,Night,0,0,0,2
117,Sant Martí,Friday,September,22,Morning,1,0,1,1
118,Sant Martí,Saturday,September,23,Night,0,0,0,1
119,Sant Martí,Saturday,September,23,Afternoon,0,0,0,2
120,Sant Martí,Sunday,September,24,Afternoon,1,0,1,3
121,Eixample,Saturday,September,23,Afternoon,2,0,2,3
122,Eixample,Friday,September,22,Afternoon,1,0,1,2
123,Eixample,Friday,September,22,Afternoon,1,0,1,2
124,Eixample,Saturday,September,23,Afternoon,3,0,3,2
125,Eixample,Friday,September,22,Afternoon,1,0,1,2
126,Eixample,Saturday,September,23,Afternoon,1,0,1,1
127,Sants-Montjuïc,Saturday,September,23,Night,1,0,1,3
128,Les Corts,Friday,September,22,Afternoon,1,0,1,2
129,Sarrià-Sant Gervasi,Sunday,September,24,Morning,0,0,0,2
130,Nou Barris,Saturday,September,23,Night,2,0,2,1
131,Nou Barris,Friday,September,22,Night,0,0,0,2
132,Sant Andreu,Monday,September,25,Night,0,0,0,2
133,Ciutat Vella,Sunday,December,24,Afternoon,1,0,1,2
134,Eixample,Sunday,December,24,Afternoon,1,0,1,1
135,Les Corts,Sunday,December,24,Morning,1,0,1,1
136,Sarrià-Sant Gervasi,Monday,December,25,Afternoon,4,0,4,2
137,Horta-Guinardó,Sunday,December,24,Afternoon,1,0,1,1
138,Sant Martí,Monday,December,25,Afternoon,2,0,2,2
139,Sant Martí,Sunday,December,24,Afternoon,1,0,1,1
140,Ciutat Vella,Monday,December,25,Morning,0,0,0,1
141,Eixample,Sunday,December,24,Night,1,0,1,2
142,Sants-Montjuïc,Sunday,December,24,Afternoon,1,0,1,2
143,Sarrià-Sant Gervasi,Sunday,December,24,Afternoon,2,0,2,3
144,Sant Martí,Sunday,December,24,Night,2,0,2,2
145,Ciutat Vella,Sunday,December,24,Afternoon,0,0,0,2
146,Eixample,Sunday,December,24,Afternoon,1,0,1,2
147,Sarrià-Sant Gervasi,Sunday,December,24,Night,2,0,2,3
148,Sant Martí,Sunday,December,24,Afternoon,1,0,1,2
149,Sant Martí,Monday,December,25,Night,2,0,2,2
150,Eixample,Monday,December,25,Afternoon,1,0,1,2
151,Sarrià-Sant Gervasi,Sunday,December,24,Afternoon,1,0,1,3
152,Horta-Guinardó,Monday,December,25,Morning,1,0,1,3
153,Sant Andreu,Sunday,December,24,Afternoon,2,0,2,2
154,Sant Andreu,Monday,December,25,Morning,1,0,1,2
155,Gràcia,Sunday,December,24,Morning,1,0,1,1
156,Horta-Guinardó,Sunday,December,24,Night,1,0,1,2
157,Sant Martí,Monday,December,25,Afternoon,1,0,1,2
158,Sarrià-Sant Gervasi,Sunday,December,24,Night,1,0,1,1
159,Sant Martí,Monday,December,25,Afternoon,1,0,1,2
160,Sant Martí,Monday,December,25,Afternoon,1,0,1,1
161,Eixample,Sunday,December,24,Afternoon,1,0,1,2
162,Sarrià-Sant Gervasi,Sunday,December,24,Morning,1,0,1,1
163,Unknown,Friday,December,8,Afternoon,5,0,5,2
164,Eixample,Thursday,December,7,Morning,1,0,1,2
165,Eixample,Wednesday,December,6,Afternoon,2,0,2,2
166,Gràcia,Thursday,December,7,Morning,1,0,1,1
167,Sant Andreu,Friday,December,8,Morning,2,0,2,2
168,Sant Martí,Wednesday,December,6,Morning,1,0,1,1
169,Eixample,Thursday,December,7,Morning,1,0,1,2
170,Sants-Montjuïc,Friday,December,8,Night,4,0,4,3
171,Nou Barris,Wednesday,December,6,Afternoon,1,0,1,2
172,Eixample,Wednesday,December,6,Night,1,0,1,2
173,Eixample,Thursday,December,7,Morning,1,0,1,2
174,Les Corts,Thursday,December,7,Afternoon,1,0,1,3
175,Sarrià-Sant Gervasi,Thursday,December,7,Afternoon,2,0,2,2
176,Horta-Guinardó,Friday,December,8,Night,1,0,1,2
177,Nou Barris,Thursday,December,7,Afternoon,2,0,2,1
178,Sant Martí,Thursday,December,7,Morning,1,0,1,2
179,Ciutat Vella,Thursday,December,7,Afternoon,1,0,1,2
180,Sants-Montjuïc,Wednesday,December,6,Afternoon,2,0,2,2
181,Sants-Montjuïc,Thursday,December,7,Afternoon,1,0,1,2
182,Sants-Montjuïc,Wednesday,December,6,Night,1,0,1,2
183,Gràcia,Wednesday,December,6,Morning,1,0,1,2
184,Eixample,Wednesday,December,6,Night,1,0,1,2
185,Sants-Montjuïc,Wednesday,December,6,Morning,3,0,3,2
186,Sant Andreu,Thursday,December,7,Night,2,0,2,1
187,Sant Martí,Friday,December,8,Night,0,0,0,2
188,Ciutat Vella,Friday,December,8,Morning,1,0,1,2
189,Eixample,Wednesday,December,6,Night,2,0,2,2
190,Eixample,Friday,December,8,Afternoon,1,0,1,2
191,Sant Andreu,Wednesday,December,6,Afternoon,1,0,1,2
192,Eixample,Wednesday,December,6,Night,1,0,1,2
193,Eixample,Friday,December,8,Afternoon,1,0,1,2
194,Les Corts,Thursday,December,7,Morning,1,0,1,2
195,Les Corts,Thursday,December,7,Afternoon,1,0,1,1
196,Gràcia,Thursday,December,7,Morning,1,0,1,1
197,Sant Martí,Wednesday,December,6,Night,1,0,1,3
198,Sant Martí,Monday,April,17,Afternoon,1,0,1,2
199,Sant Martí,Friday,April,14,Morning,1,0,1,2
200,Eixample,Saturday,April,15,Afternoon,1,0,1,3
201,Eixample,Saturday,April,15,Afternoon,1,0,1,2
202,Eixample,Sunday,April,16,Morning,1,1,2,2
203,Eixample,Monday,April,17,Afternoon,1,0,1,2
204,Gràcia,Saturday,April,15,Morning,1,0,1,2
205,Horta-Guinardó,Sunday,April,16,Night,1,0,1,4
206,Horta-Guinardó,Monday,April,17,Afternoon,1,0,1,2
207,Sant Martí,Sunday,April,16,Afternoon,4,0,4,2
208,Sant Martí,Friday,April,14,Morning,1,0,1,2
209,Ciutat Vella,Friday,April,14,Afternoon,2,0,2,1
210,Eixample,Friday,April,14,Morning,1,0,1,2
211,Eixample,Monday,April,17,Afternoon,1,0,1,1
212,Sants-Montjuïc,Friday,April,14,Afternoon,0,0,0,2
213,Sants-Montjuïc,Monday,April,17,Afternoon,1,0,1,1
214,Sants-Montjuïc,Monday,April,17,Morning,1,0,1,2
215,Sarrià-Sant Gervasi,Sunday,April,16,Morning,4,0,4,3
216,Sarrià-Sant Gervasi,Friday,April,14,Afternoon,1,0,1,2
217,Sant Andreu,Friday,April,14,Afternoon,1,0,1,1
218,Sant Martí,Sunday,April,16,Morning,0,0,0,2
219,Sant Martí,Monday,April,17,Morning,1,0,1,1
220,Sant Martí,Monday,April,17,Afternoon,2,0,2,2
221,Eixample,Friday,April,14,Afternoon,1,0,1,2
222,Eixample,Friday,April,14,Morning,1,0,1,2
223,Sarrià-Sant Gervasi,Friday,April,14,Afternoon,1,0,1,2
224,Sarrià-Sant Gervasi,Saturday,April,15,Morning,2,0,2,2
225,Sant Andreu,Saturday,April,15,Afternoon,1,0,1,2
226,Ciutat Vella,Friday,April,14,Afternoon,1,0,1,1
227,Eixample,Friday,April,14,Morning,0,1,1,1
228,Sarrià-Sant Gervasi,Friday,April,14,Night,1,0,1,1
229,Horta-Guinardó,Saturday,April,15,Night,3,0,3,2
230,Eixample,Friday,April,14,Afternoon,2,0,2,1
231,Eixample,Friday,April,14,Afternoon,0,0,0,2
232,Sants-Montjuïc,Saturday,April,15,Morning,1,0,1,2
233,Sants-Montjuïc,Friday,April,14,Afternoon,1,0,1,2
234,Sants-Montjuïc,Monday,April,17,Afternoon,1,0,1,1
235,Les Corts,Saturday,April,15,Afternoon,1,0,1,2
236,Horta-Guinardó,Monday,April,17,Afternoon,1,0,1,2
237,Sant Andreu,Monday,April,17,Morning,1,0,1,2
238,Eixample,Saturday,April,15,Morning,1,0,1,2
239,Eixample,Friday,April,14,Night,1,0,1,2
240,Eixample,Sunday,April,16,Afternoon,1,0,1,1
241,Eixample,Sunday,April,16,Morning,1,0,1,1
242,Horta-Guinardó,Saturday,April,15,Night,1,0,1,2
243,Nou Barris,Saturday,April,15,Morning,2,0,2,2
244,Nou Barris,Saturday,April,15,Night,0,0,0,4
245,Sant Andreu,Friday,April,14,Night,1,0,1,2
246,Ciutat Vella,Monday,April,17,Night,1,0,1,2
247,Ciutat Vella,Saturday,April,15,Morning,2,0,2,1
248,Eixample,Saturday,April,15,Afternoon,1,0,1,2
