Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'Administració de justícia;Trencament de condemna;18;19;10
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra les relacions familiars;Contra els drets i deures familiars;2;2;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;11;10;2
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;5;4;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Dels delictes contra la seguretat col·lectiva;Incendi;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;De les falsedats;De la usurpació de l'estat civil;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;De les falsedats;Falsedats documentals;2;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;De les falsedats;Falsificació de moneda i efectes timbrats;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;De les lesions;Lesions;43;37;7
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;2;2;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;7;5;1
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;166;13;1
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;142;14;
