nationality,dist,num_immi
Ireland,Sants-Montjuïc,13
Ireland,Sarrià-Sant Gervasi,13
Israel,Ciutat Vella,17
Israel,Eixample,38
Israel,Gràcia,28
Israel,Horta-Guinardó,1
Israel,Les Corts,3
Israel,No consta,0
Israel,Nou Barris,0
Israel,Sant Andreu,2
Israel,Sant Martí,16
Israel,Sants-Montjuïc,9
Israel,Sarrià-Sant Gervasi,20
Italy,Ciutat Vella,1275
Italy,Eixample,1568
Italy,Gràcia,598
Italy,Horta-Guinardó,413
Italy,Les Corts,205
Italy,No consta,0
Italy,Nou Barris,146
Italy,Sant Andreu,226
Italy,Sant Martí,798
Italy,Sants-Montjuïc,684
Italy,Sarrià-Sant Gervasi,396
Ivory Coast,Ciutat Vella,3
Ivory Coast,Eixample,1
Ivory Coast,Gràcia,1
Ivory Coast,Horta-Guinardó,3
Ivory Coast,Les Corts,0
Ivory Coast,No consta,0
Ivory Coast,Nou Barris,1
Ivory Coast,Sant Andreu,1
Ivory Coast,Sant Martí,1
Ivory Coast,Sants-Montjuïc,4
Ivory Coast,Sarrià-Sant Gervasi,4
Jamaica,Ciutat Vella,0
Jamaica,Eixample,0
Jamaica,Gràcia,0
Jamaica,Horta-Guinardó,0
Jamaica,Les Corts,0
Jamaica,No consta,0
Jamaica,Nou Barris,0
Jamaica,Sant Andreu,1
Jamaica,Sant Martí,0
Jamaica,Sants-Montjuïc,1
Jamaica,Sarrià-Sant Gervasi,0
Japan,Ciutat Vella,26
Japan,Eixample,79
Japan,Gràcia,25
Japan,Horta-Guinardó,13
Japan,Les Corts,55
Japan,No consta,0
Japan,Nou Barris,4
Japan,Sant Andreu,10
Japan,Sant Martí,16
Japan,Sants-Montjuïc,12
Japan,Sarrià-Sant Gervasi,99
Jordan,Ciutat Vella,6
Jordan,Eixample,12
Jordan,Gràcia,4
Jordan,Horta-Guinardó,3
Jordan,Les Corts,0
Jordan,No consta,0
Jordan,Nou Barris,3
Jordan,Sant Andreu,0
Jordan,Sant Martí,7
Jordan,Sants-Montjuïc,0
