"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"92086012505","Àrea de Joc Infantil a l'Avinguda Diagonal - Selva de Mar - Josep Pla","#","Av","Diagonal","70","70","35","el Guinardó","10","Sant Martí","08019","019","BARCELONA","41.409798","2.209835","433958.92","4584551.37","434050.884","4584752.329","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012505","Àrea de Joc Infantil a l'Avinguda Diagonal - Selva de Mar - Josep Pla","#","Av","Diagonal","70","70","35","el Guinardó","10","Sant Martí","08019","019","BARCELONA","41.409798","2.209835","433958.92","4584551.37","434050.884","4584752.329","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012506","Àrea de Joc Infanti al Grup Juan Antonio Parera","#","C","Menorca","1","1","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.418492","2.195213","432745.827","4585527.827","432837.78","4585728.794","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012506","Àrea de Joc Infanti al Grup Juan Antonio Parera","#","C","Menorca","1","1","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.418492","2.195213","432745.827","4585527.827","432837.78","4585728.794","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012507","Àrea de Joc Infantil a la Plaça de les Heroïnes de Girona","#","Pl","Heroïnes de Girona","0","0","64","el Camp de l'Arpa del Clot","10","Sant Martí","08026","019","BARCELONA","41.410371","2.179757","431445.667","4584638.311","431537.608","4584839.27","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012507","Àrea de Joc Infantil a la Plaça de les Heroïnes de Girona","#","Pl","Heroïnes de Girona","0","0","64","el Camp de l'Arpa del Clot","10","Sant Martí","08026","019","BARCELONA","41.410371","2.179757","431445.667","4584638.311","431537.608","4584839.27","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086030881","Àrea de Joc Infantil a Enric Granados - París - Avinguda Diagonal","#","C","Enric Granados","126","126","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.394703","2.153534","429236.922","4582919.972","429328.843","4583120.914","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086030881","Àrea de Joc Infantil a Enric Granados - París - Avinguda Diagonal","#","C","Enric Granados","126","126","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08008","019","BARCELONA","41.394703","2.153534","429236.922","4582919.972","429328.843","4583120.914","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086035693","Àrea de Joc Infantil a la Plaça Bacardí","#","Pl","Bacardí","1","1","43","Horta","07","Horta-Guinardó","08031","019","BARCELONA","41.429666","2.163886","430139.88","4586793.136","430231.808","4586994.114","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086035693","Àrea de Joc Infantil a la Plaça Bacardí","#","Pl","Bacardí","1","1","43","Horta","07","Horta-Guinardó","08031","019","BARCELONA","41.429666","2.163886","430139.88","4586793.136","430231.808","4586994.114","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086037236","Àrea de Joc Infantil a la Guineueta","#","Rbla","Caçador","26","26","48","la Guineueta","08","Nou Barris","08031","019","BARCELONA","41.440337","2.170235","430681.665","4587972.701","430773.598","4588173.69","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086037236","Àrea de Joc Infantil a la Guineueta","#","Rbla","Caçador","26","26","48","la Guineueta","08","Nou Barris","08031","019","BARCELONA","41.440337","2.170235","430681.665","4587972.701","430773.598","4588173.69","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086038624","Área de Joc Infantil a Felip II - Garcilaso - Concepció Arenal","#","C","Felip II","140","140","62","el Congrés i els Indians","09","Sant Andreu","08027","019","BARCELONA","41.423407","2.18329","431754.551","4586082.763","431846.494","4586283.735","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
